Image_path,image_name,Captions,Label_Sentiment,label
../dataset/Dataset\Memes\KAM (655).jpg,KAM (655).jpg,ক্লাস ক্যাপ্টেন first boy পরীক্ষায় কাউকে দেখাই না কারো দেখেও না মনোযোগী ছাত্র টিচারদের মনের মতো ছাত্র স্কুলের মাস্তান স্কুলের সব মেয়ের crush ক্লাসে খুব একটা দেখা যায় না,0,0
../dataset/Dataset\Memes\ovodro_img (438).jpg,ovodro_img (438).jpg,মোদিজি আপনি কী জানেন যৌন ধর্ম নামে একটি ধর্ম এর সৃষ্টি হয়েছে নতুন করে হ্যাঁ ওটা সারদাকান্ডে জড়িত সব মামাদের ধর্ম,1,1
../dataset/Dataset\Memes\KAM (115).png,KAM (115).png,ফইন্নি ঘরের ফইন্নি এইডা কি বিশ্বকাপের উদ্বোধনী ছিল নাকি কোন গায়ে হলুদের DANCE ছিল,1,1
../dataset/Dataset\Memes\Bangla Thug Life (105).jpg,Bangla Thug Life (105).jpg,31st নাইট এ এলাকায় পার্টি হবে 1000 করে দিতে হবে,1,1
../dataset/Dataset\Memes\Bangla Thug Life (9).jpg,Bangla Thug Life (9).jpg,BNP ক্ষমতা,1,1
../dataset/Dataset\Memes\bamboo-vaiya (160).jpg,bamboo-vaiya (160).jpg,দিন দিন দেখি শুধু সুন্দর হইতেছ রূপের রহস্য কি তোমার BREAK UP,1,1
../dataset/Dataset\Memes\bangla-gag (120).jpg,bangla-gag (120).jpg,No more কাটাকাটি no more মারামারি EID MUBARAK,0,0
../dataset/Dataset\Memes\ovodro_img (204).jpg,ovodro_img (204).jpg,পাতা ধোকা একলা ঘর আমার দেশ আমার একলা থাকার অভ্যেস,1,1
../dataset/Dataset\Memes\Bangla Thug Life (233).jpg,Bangla Thug Life (233).jpg,Some girl dont need dslr Even in 2MP camera they look beautiful,1,1
../dataset/Dataset\Memes\Bangla Thug Life (416).jpg,Bangla Thug Life (416).jpg,গফঃ বাবু আস্তে আস্তে তুমিই প্রথম Le Boyfriend,1,1
../dataset/Dataset\Memes\tangaila (245).jpg,tangaila (245).jpg,যখন কেউ বলে সারাদিন ফেসবুকে সবসময় কি করিস আমিঃ,1,1
../dataset/Dataset\Memes\ovodro_img (255).jpg,ovodro_img (255).jpg,আগে ভালো ভালো সিনেমা করেছি তাই THUGS OF HINDUSTAN বালের সিনেমা হলেও আমির অমিতিভ নামের জন্য সিনেমা হিট হয়ে যাবে,1,1
../dataset/Dataset\Memes\KAM (360).jpg,KAM (360).jpg,বিন মিয়া কওতো দেখি সাইক্লোন কি ইহা এক ধরণের লোন যা কিনা সাইকেল কেনার জন্য দেওয়া হয়,0,0
../dataset/Dataset\Memes\KAM (153).png,KAM (153).png,এই জার্সি পড়ে বাংলাদেশ খেললে বিশ্বকাপ তো সহজেই জিতে যাবে,0,0
../dataset/Dataset\Memes\nurani-memes (91).jpg,nurani-memes (91).jpg,When you have 10 taka in your pocket and Dokandar isnt giving you a Benson for one taka,1,1
../dataset/Dataset\Memes\KAM (330).jpg,KAM (330).jpg,গত রাইতে সেরাম স্বপ্ন দেখছি তাই ভাই ভাবীরে দেখছেন ফহিন্নিরে ফহিন্নি আমি দুঃস্বপ্ন দেখছিনিরে,0,0
../dataset/Dataset\Memes\ovodro_img (457).jpg,ovodro_img (457).jpg,আমাকে আঘাত করলে অন্য কারও লাগে সে আঘাত তোকে আঘাত করলেও যে কষ্ট পায় কে সেই দেবি আমি যৌন ধর্মের সৃষ্টিকর্তা তথা ইমরানের ছোট বোন,1,1
../dataset/Dataset\Memes\Halal Memes (273).jpg,Halal Memes (273).jpg,তেমন কিছু নাহ HSC পরিক্ষা হবে নাহ শোনার পরে সমালোচনা ও কুটনামি করতে পারবে নাহ বুঝতে পারা পাশের বাসার আন্টি,1,1
../dataset/Dataset\Memes\nurani-memes (144).jpg,nurani-memes (144).jpg,When your friend got a kar98 with a 8x and silencer but still cant kill the enemy টোকাইর হাতে অস্ত্র কেন,1,1
../dataset/Dataset\Memes\ovodro_img (472).jpg,ovodro_img (472).jpg,Breakup হওয়ার পরে বন্ধু যখন কান্নাকাটি করে তখন আমিঃ এই তোর ব্রা এর সাইজ কতো রে মেয়েদের মতো কান্না করিস কেনো রে বাল,1,1
../dataset/Dataset\Memes\ovodro_img (195).jpg,ovodro_img (195).jpg,বাংলা পানু বাঙালি Picture quality দারুন মুখে নিয়েছে বাংলায় কথা বলছে,1,1
../dataset/Dataset\Memes\bangla-memes (52).jpg,bangla-memes (52).jpg,দেখ দেখ ও এখনও ফেসবুকে নিজেদের গরুর ছবি আপলোড করেনি,1,1
../dataset/Dataset\Memes\ovodro_img (691).jpg,ovodro_img (691).jpg,দিদি কেমন লাগছে পুরো উন্নয়ন লাগছে এবার কেমন লাগছে দিদি বিরোধিদের চক্রান্ত সব চক্রান্ত,1,1
../dataset/Dataset\Memes\bangla-gag (136).jpg,bangla-gag (136).jpg,তারাবির নামায ১ম রোজা ১০ম রোজা ২০তম রোজা শেষ রোজা,0,0
../dataset/Dataset\Memes\ovodro_img (440).jpg,ovodro_img (440).jpg,বাবা দুধ খাওয়ার জন্য কখন নিয়ে আসব অভিশেক কে পড়ানোর পরে,1,1
../dataset/Dataset\Memes\bangla-gag (103).jpg,bangla-gag (103).jpg,কি মনে করসি্লা আজকেও খারাপ খেলবো,2,2
../dataset/Dataset\Memes\ovodro_img (288).jpg,ovodro_img (288).jpg,ধেমনা আগে ঠিক করে কথা বলতে তো শেখ তারপর বলিস সেদিন দেখা হয়েছিলো আজ ও পালিনি কিতুই বলতে,1,1
../dataset/Dataset\Memes\tangaila (272).jpg,tangaila (272).jpg,No Caption,1,1
../dataset/Dataset\Memes\bamboo-vaiya (186).jpg,bamboo-vaiya (186).jpg,যখন আম্মু আব্বু আমাকে হঠাত করে তুমি বলে সম্বোধন করে,0,0
../dataset/Dataset\Memes\bamboo-vaiya (129).jpg,bamboo-vaiya (129).jpg,When you wear Complete suit How you actually look like How your mom sees you,2,2
../dataset/Dataset\Memes\Halal Memes (114).jpg,Halal Memes (114).jpg,My lockdown long hairstyle Expectations Reality,0,0
../dataset/Dataset\Memes\KAM (790).jpg,KAM (790).jpg,রিপোর্টে দেখছি আপনার পেটে অনেক চামচ এতো চামচ ভিতরে গেল কিভাবে আপনিইতো বলেছিলেন ডেইলি দুই চামচ করে খেতে,0,0
../dataset/Dataset\Memes\Bangla Thug Life (417).jpg,Bangla Thug Life (417).jpg,দুই একে দুই চলো আমরা শুই,1,1
../dataset/Dataset\Memes\bamboo-vaiya (479).jpg,bamboo-vaiya (479).jpg,পিরিয়ডের কষ্ট কি বুঝবে বলা মেয়েঃ মুসলমানির একদিন পরেই হাত মারতে চেষ্টা করা ছেলেঃ,1,1
../dataset/Dataset\Memes\KAM (272).jpg,KAM (272).jpg,সবাই বলে ছেলে হোক মেয়ে হোক দুটি সন্তানই যথেষ্ট কিন্তু কেউ বলে না সাবজেক্ট যাই হোক CGPA2 ই যথেষ্ট,0,0
../dataset/Dataset\Memes\nurani-memes (7).jpg,nurani-memes (7).jpg,Me Perfect Body কাচ্চিবিরিয়ানি Me Perfect Body,1,1
../dataset/Dataset\Memes\ovodro_img (793).jpg,ovodro_img (793).jpg,যখন কোন স্ত্রী তার বরকে বলে আজ ৫০০০ টাকা দিও একটু পার্লারে যেতে হবে বরের শরীর বৌ বরের আত্না,1,1
../dataset/Dataset\Memes\KAM (485).jpg,KAM (485).jpg,বুবু জানেন মোদি দাদা আমার জন্য কত্ত কিছু আনছো আমারে যে কি দিছে সেটা তো বলা যাবে না আমার আনুশকা আইতাছে তাতেই চলবো আর আমাগো জনগণরে যে কত বাশ দিয়ে গেছে আল্লাহই জানে,1,1
../dataset/Dataset\Memes\KAM (666).jpg,KAM (666).jpg,বিয়ের আগে বলো নাই কেনো যে তোমার রানী নামে আরেকটা বউ ছিলো অনেক আগে বলছিলামতো তোমাকে রানীর মত রাখবো,0,0
../dataset/Dataset\Memes\Bangla Thug Life (343).jpg,Bangla Thug Life (343).jpg,Someone লালডা না কালাডা Me তোর নানির সাউয়াডা,1,1
../dataset/Dataset\Memes\KAM (316).jpg,KAM (316).jpg,জান চল কোথাও খাইতে যাই টিকাছে চলো যাই কিন্তু বিল তুমি দিবা না থাক যাবো না,0,0
../dataset/Dataset\Memes\nurani-memes (174).jpg,nurani-memes (174).jpg,Uttara kids whenever they see something red You remind me of my Father,1,1
../dataset/Dataset\Memes\ovodro_img (735).jpg,ovodro_img (735).jpg,সস্তার নেসা কবে শিব সাজতে এসেছিস এবার ঠেলা সামলা শালা,1,1
../dataset/Dataset\Memes\Bangla Thug Life (89).jpg,Bangla Thug Life (89).jpg,জেএসসি পরীক্ষার্থীরা যখন জানতে পারে ৩০ ডিসেম্বর রেজাল্ট হাসিখুশির দিন শেষ এখন নাকের পানি আর চোখের পানি,0,0
../dataset/Dataset\Memes\KAM (208).png,KAM (208).png,অনেক সময় শুনি বড় বোন রে দেখতে যাইয়া ছোট বোন রে বিয়া কইরা নিয়া গেসে কিন্ত শালার বড় ভাইরে দেখতে গেলে এমন হয় না কেরে,0,0
../dataset/Dataset\Memes\bamboo-vaiya (185).jpg,bamboo-vaiya (185).jpg,যখন কেউ ইফতারে মুড়িতে জিলাপি দেয় Me Tum mere dushman ho,2,2
../dataset/Dataset\Memes\tangaila (225).jpg,tangaila (225).jpg,এইচএসসি পরীক্ষা এখনি নয় মাননীয় প্রধানমন্ত্রী লে এইচএসসি পরীক্ষার্থীঃ,1,1
../dataset/Dataset\Memes\Bangla Thug Life (6).jpg,Bangla Thug Life (6).jpg,মেহমানঃ নাও বাবা এই টাকা দিয়ে কিছু খেয়ে নিও আমিঃ আরে না না এইসবের কোনো দরকার নাই But deep inside deeee,0,0
../dataset/Dataset\Memes\Halal Memes (27).jpg,Halal Memes (27).jpg,6 এর nibbi যখিন শারীরিক শিক্ষার বয়সন্ধকাল অধ্যায় জোরে জোরে রিডিং পড়ে তার আম্মু নাউজুবিল্লাহ,1,1
../dataset/Dataset\Memes\KAM (195).jpg,KAM (195).jpg,টিচার যেভাবে পরীক্ষা নিতে চায় স্টুডেন্ট যে ভাবে পরীক্ষা দিতে চায়,0,0
../dataset/Dataset\Memes\chosha (22).jpg,chosha (22).jpg,ওকে তুই ভুলে গেছিস ভুলিনি তবে মনেও করিনা আর ও আজকে তোকে নিয়ে বাজে কথা বলে ওর দোষ না ওর বাবা মার দোষ পোলিওর যায়গায় পিল খায়িয়েছে,1,1
../dataset/Dataset\Memes\KAM (263).jpg,KAM (263).jpg,এইবার তোর জন্মদিনে কয়েকটা ফকিরকে দাওয়াত দিস দোস্ত আম্মু তোদের সবাইকে দাওয়াত দিছে,0,0
../dataset/Dataset\Memes\nurani-memes (82).jpg,nurani-memes (82).jpg,প্রেমের নাম বেদনা এ কথা বুঝিনি আগে From Petyr Baelish To Sansa Stark,0,0
../dataset/Dataset\Memes\Halal Memes (326).jpg,Halal Memes (326).jpg,বন্ধুকে নিজ বাসায় নিয়ে যাওয়ার আগ মুহুর্তে আমিঃ আমার ভাই কোন ধরনের উলটা পালটা কথা বলবিনা দয়া কইরা,2,2
../dataset/Dataset\Memes\Bangla Thug Life (311).jpg,Bangla Thug Life (311).jpg,আয়রে ভাই দলে দলে পুতিন ভাইয়ের ভ্যাক্সিন নিতে বাইঞ্চোদ পুতিন বলিয়া করোনা যাবে এবার চলিয়া,1,1
../dataset/Dataset\Memes\bamboo-vaiya (25).jpg,bamboo-vaiya (25).jpg,ওষুধের দোকানে ipill কিনতে আসা কাষ্টমার কন্ডোম কিনতে আস কাষ্টমার,1,1
../dataset/Dataset\Memes\KAM (313).jpg,KAM (313).jpg,কি সোনামণিরা সোমবার সকাল সন্ধ্যা হরতাল কি সবাই খুশিতো,1,1
../dataset/Dataset\Memes\KAM (725).jpg,KAM (725).jpg,আমি রাত জাগি না আমি নিয়মিত রাত জাগি,1,1
../dataset/Dataset\Memes\bamboo-vaiya (224).jpg,bamboo-vaiya (224).jpg,যখন বড় বোন ৫০ টাকা ঈদ সালামি দেয় MIRACLE MIRACLE,0,0
../dataset/Dataset\Memes\KAM (743).jpg,KAM (743).jpg,রাতে ঘরে চোর এসেছিলো আমাকে কিস করে চলে গেছে তুমি ওকে থাকাও নি কতবার বললাম থামো থামো সকালে যেও ও বলল অন্য দিন আবার আসবে,0,0
../dataset/Dataset\Memes\KAM (337).jpg,KAM (337).jpg,ছেলেরা আমার জন্য পাগল সবাই আমার পিছনে পিছনে ঘুরে কারণ বাজারে সস্তা পণ্যের চাহিদা বেশি,0,0
../dataset/Dataset\Memes\bangla-gag (6).jpg,bangla-gag (6).jpg,বাংলাদেশে আসার আগেঃ সিরিজ জিতে বাংলাদেশকে হোয়াইটওয়াশ করতে চাই দ্বিতীয় ওয়ানডের পরঃ শেষ ম্যাচটি জিতে হোয়াইটওয়াশ এড়াতে চাই,0,0
../dataset/Dataset\Memes\ovodro_img (477).jpg,ovodro_img (477).jpg,আগে আমাকে কোন মেয়ে পাত্তা দিত না ফির মসি নে বোলা একটা DSLR কিনে ফটোগ্রাফি করতে এখন ঝিঙ্কু মামনিগুলো আমার চারপাশে ঘিরে থাকে ফ্রিতে ফটো তোলার জন্য,1,1
../dataset/Dataset\Memes\bangla-gag (150).jpg,bangla-gag (150).jpg,WHEN YOUR RELATIVES GIVES YOU EID ER BOKSISH OUTSIDE INSIDE,0,0
../dataset/Dataset\Memes\ovodro_img (641).jpg,ovodro_img (641).jpg,মূলত ফুটবল খেলতে হয় পা দিয়ে আবার কিছু ফুটবল খেলতে হয় হাত দিয়ে,1,1
../dataset/Dataset\Memes\tangaila (56).jpg,tangaila (56).jpg,When you are a human being But memers made you a ফেরেশতা,0,0
../dataset/Dataset\Memes\ovodro_img (450).jpg,ovodro_img (450).jpg,কনফিউশান অনেক বড় কনফিউশান রাতে ফ্যান অফ করে ঘুমাবো নাকি ফ্যান অন করেই ঘুমাবো,2,2
../dataset/Dataset\Memes\nurani-memes (51).jpg,nurani-memes (51).jpg,Boy Hey Girl Are you a MCQ Question Girl No Why Boy Coz আমি তোমার গোল্লা ভরাট করতে চাই,1,1
../dataset/Dataset\Memes\ovodro_img (140).jpg,ovodro_img (140).jpg,Dont compare these legend with these ultra legend,1,1
../dataset/Dataset\Memes\bangla-memes (43).jpg,bangla-memes (43).jpg,এইচএসসি রেসাল্টের পর যখন তোমার মা রাজুর পরিবর্তে তোমাকে আস্ত ডিম খেতে দেয়,0,0
../dataset/Dataset\Memes\KAM (57).png,KAM (57).png,আমি সারারাত তোমাকে নিয়ে ভাবি হারামি তাহলে দিনে কাকে নিয়া ভাবিস,0,0
../dataset/Dataset\Memes\KAM (718).jpg,KAM (718).jpg,সাকিবকে আজীবন নিষিদ্ধ করা হলো আই কিচ্ছি,1,1
../dataset/Dataset\Memes\Bangla Thug Life (137).jpg,Bangla Thug Life (137).jpg,stop continue continue but slowly,1,1
../dataset/Dataset\Memes\Bangla Thug Life (27).jpg,Bangla Thug Life (27).jpg,যখন হেডফোন ব্যাগে ঢুকাই যখন ব্যাগ থেকে বের করি,1,1
../dataset/Dataset\Memes\bangla-memes (160).jpg,bangla-memes (160).jpg,Me on new years 1159 1200 1201,0,0
../dataset/Dataset\Memes\bamboo-vaiya (487).jpg,bamboo-vaiya (487).jpg,vagina মানে কি জানো হ্যাঁ জানি বোনের ছেলে,1,1
../dataset/Dataset\Memes\bangla-troll (7).jpg,bangla-troll (7).jpg,মা সিরিয়াল তো শেষ এখন কি আবার নানী সিরিয়ালের আগমন ঘটবো নাকি,0,0
../dataset/Dataset\Memes\ovodro_img (124).jpg,ovodro_img (124).jpg,আমাদের কোম্পানি তে আমরা সব unique ট্যালেন্টড লোক কে জব দিই তোমার কী unique Talent আছে আমি বন্ধুদের সাথে খিস্তি মারা ছাড়া কথা বলি না কী অসাধারন ট্যালেন্ট আজ থেকে তুমি কোম্পানির মালিক,1,1
../dataset/Dataset\Memes\Bangla Thug Life (208).jpg,Bangla Thug Life (208).jpg,আচ্ছা তোমরা মেয়েরা কেন কয়েকটা রোজা রাখনা তোমার কাছে কি আমি জানতে চাইছি সেহেরির পূর্বে কেন ছেলেরা গোসল করে,1,1
../dataset/Dataset\Memes\nurani-memes (44).jpg,nurani-memes (44).jpg,ছুটির পর দাড়াইস Expectation Reality,0,0
../dataset/Dataset\Memes\ovodro_img (121).jpg,ovodro_img (121).jpg,পাগলাচোদা গালফ্রেন্ড বাড়ার মাথা বাঁড়া,1,1
../dataset/Dataset\Memes\ovodro_img (707).jpg,ovodro_img (707).jpg,তোদের বাবা কোথায় গিয়ে লুকিয়ে পড়ল আসছেই না তাড়াতাড়ি কর তোমার বৌ আর ছেলে মেয়ে তোমার কথাই বলছে,1,1
../dataset/Dataset\Memes\bamboo-vaiya (288).jpg,bamboo-vaiya (288).jpg,Spain Portugal France discovers a new land Great Britain আমি চলে এসেছি,2,2
../dataset/Dataset\Memes\KAM (77).jpg,KAM (77).jpg,মায়েদের প্রশ্নঃ সারাদিন খালি ফেসবুক আর ফেসবুক এর বাহিরে একটা জগত আছে আছে জানো তাইনাকি একটু লিংকটা দাওতো,0,0
../dataset/Dataset\Memes\chosha (99).jpg,chosha (99).jpg,বৌদি গুদ মারতে দিবে দুষ্টু এই বয়সে তুমি অনেক বড় জিনিস চেয়ে ফেলেছো জিনিসটা যদি অনেক বড় হয় তো ছাড়ো বাদ দাও,1,1
../dataset/Dataset\Memes\bangla-gag (58).jpg,bangla-gag (58).jpg,YOU KNOW YOU ARE BANGALI ENOUGH WHEN YOU CALL SHOPPING MARKETING চলো MARKETING এ যাই,2,2
../dataset/Dataset\Memes\bamboo-vaiya (536).jpg,bamboo-vaiya (536).jpg,এলাচে Eating kacchi peacefully,1,1
../dataset/Dataset\Memes\Bangla Thug Life (91).jpg,Bangla Thug Life (91).jpg,Hug kore ghumanor iccha chilo moddho rate gosol er iccha nai বাপরে শখের তো কমতি নাই,1,1
../dataset/Dataset\Memes\Halal Memes (135).jpg,Halal Memes (135).jpg,সুশান্ত সিং মারা গেছে RIP ভারতের ২০ সেনা নিহত ঈদ মোবারক,1,1
../dataset/Dataset\Memes\KAM (154).jpg,KAM (154).jpg,একসময় ছিল গণতন্ত্র এখন গুমতন্ত্র,0,0
../dataset/Dataset\Memes\bangla-gag (134).jpg,bangla-gag (134).jpg,ALL OUT IN 84 RUNS HAPPINESS IS টিমের সবাই অনেকদিন পর ব্যাটিং পাইসে,2,2
../dataset/Dataset\Memes\ovodro_img (682).jpg,ovodro_img (682).jpg,সূচ হয়ে ঢুকে ফাল হয়ে বেরোনো private tutor হয়ে ঢুকে জামাই হয়ে বেরোনো,1,1
../dataset/Dataset\Memes\bamboo-vaiya (457).jpg,bamboo-vaiya (457).jpg,জয়া আহসান ২০০৮ জয়া আহসান ২০১৮,1,1
../dataset/Dataset\Memes\nurani-memes (211).jpg,nurani-memes (211).jpg,Easy Normal Hard Restaurant এ খেতে যাওয়া Easy Normal Hard Restaurant এ খেতে যেয়ে pic আপ না দেয়া,0,0
../dataset/Dataset\Memes\tangaila (194).jpg,tangaila (194).jpg,যখন বিন্দুবাসিনীর কোনো মেয়ে বলে আমার বয়ফ্রেন্ড নাই আমি সবসময় পড়াশোনা নিয়ে ব্যস্ত থাকি Then me,1,1
../dataset/Dataset\Memes\bamboo-vaiya (498).jpg,bamboo-vaiya (498).jpg,babu hood ta uthay daw babu okay disi uthay every bangali on the road Oije ora sex kortese,1,1
../dataset/Dataset\Memes\bangla-memes (175).jpg,bangla-memes (175).jpg,তোমার kpop প্রেমী বন্ধু যখন প্রেমিকা নিয়ে ঘুরে বেড়ায়ঃ তুই তাহলে হিজরা না,1,1
../dataset/Dataset\Memes\KAM (509).jpg,KAM (509).jpg,পরীক্ষার আগে আমি সেরা সবার থেকে পরীক্ষার সময় আমি তেমন কিছু পারিনা কোন মতে পাস করলেই হবে,0,0
../dataset/Dataset\Memes\KAM (37).jpg,KAM (37).jpg,স্পেনরে খাইয়া দিছি পর্তুগালরেও এবার ইংল্যান্ডরেও খাইয়া দিলাম কেও এই উটরে জবাই করস না ক্যারে,1,1
../dataset/Dataset\Memes\bangla-gag (28).jpg,bangla-gag (28).jpg,গান বাংলা চ্যানেল আয়োজিত সেহেরির রাতে লাইভ গানের অনুষ্ঠান THIS IS WHY I BOMB PEOPLE,1,1
../dataset/Dataset\Memes\bangla-troll (53).jpg,bangla-troll (53).jpg,They Have Eiffel Tower We have These Towers,1,1
../dataset/Dataset\Memes\KAM (66).png,KAM (66).png,Choo Mantar Aaja Ab GUM Ho Jaye গুম হইবেন ত নারায়ণগঞ্জ যান না ক্যানে গুম হমু বলছিলাম নাকি ভাই,0,0
../dataset/Dataset\Memes\KAM (688).jpg,KAM (688).jpg,নেতার গাড়ি নেতার বউ এর গাড়ি নেতার ছেলের গাড়ি যারা ভোট দিয়ে নেতা বানাইসে তাদের গাড়ি,0,0
../dataset/Dataset\Memes\tangaila (2).jpg,tangaila (2).jpg,WHEN YOUR COUSINS TAKES YOU TO THE DHAN KHET AND SHOWS HIS KALO BONDUK,1,1
../dataset/Dataset\Memes\Bangla Thug Life (161).jpg,Bangla Thug Life (161).jpg,কিরে তোর চোখের নিচে এতো কালো ক্যান আর বলিস না তোর দুলাভাই রাতে একদমই ঘুমাইতে দেয় না,1,1
../dataset/Dataset\Memes\nurani-memes (207).jpg,nurani-memes (207).jpg,কাঁঠালের চেয়ে কাঁঠালের বিচি বেশী মজা and thats a fact,0,0
../dataset/Dataset\Memes\bangla-memes (104).jpg,bangla-memes (104).jpg,দোকানের সামনে ধুলাবালি exists দোকানদার nibbas,0,0
../dataset/Dataset\Memes\nurani-memes (143).jpg,nurani-memes (143).jpg,honey tell me whats wrong যেই মেশিন দিয়া টাকা বানায় সরকার অই মেশিন দিয়া বেশি বেশি টাকা বানায়া দেশের উন্নতি করেনা কেন,1,1
../dataset/Dataset\Memes\ovodro_img (417).jpg,ovodro_img (417).jpg,জঙ্গি হানা নিয়ে মমতার বিস্ফোরক প্রশ্ন আগেই পাকিস্তানকে দোষারোপ কেন আচ্ছা একটু জবাব দেবেন আপনাকে দেখে কোন ডাক্তার,1,1
../dataset/Dataset\Memes\bamboo-vaiya (182).jpg,bamboo-vaiya (182).jpg,সারা বছর During Ramadan,1,1
../dataset/Dataset\Memes\ovodro_img (49).jpg,ovodro_img (49).jpg,হাই আমি মোমো চলো একটা গেম খেলি ওকে প্রথম তুমি কুকুর স্টাইলে দাঁড়াও Sorry দাদা ভুল করে Message চলে গেছে,1,1
../dataset/Dataset\Memes\bangla-gag (65).jpg,bangla-gag (65).jpg,বাতাস এত শান্তি ক্যারে,0,0
../dataset/Dataset\Memes\ovodro_img (223).jpg,ovodro_img (223).jpg,যখন মা শীতের সময়েও ঠান্ডা জ্বল দিয়ে স্নান করতে বলে,2,2
../dataset/Dataset\Memes\ovodro_img (44).jpg,ovodro_img (44).jpg,তোমার টা কী আটলান্টিক সাগর না কেন তাহলে আমি ডুবে যাই কেন,1,1
../dataset/Dataset\Memes\ovodro_img (53).jpg,ovodro_img (53).jpg,আমাদের কোম্পানিতে চাকরী করতে হলে সায়েন্টিস্ট হতে হবে সায়েন্স এর কিছু বলো হাস জ্বলে সাতার কাটলে জলের অক্সিজেন বাড়ে কে আপনি আপনাকে তো ঠিক চিনলাম না,1,1
../dataset/Dataset\Memes\KAM (300).jpg,KAM (300).jpg,সৌভাগ্যবান হলো সেই ব্যক্তি যার বউ ফুটবল ক্রিকেট ফ্যান সৌভাগ্যবতী হলো সেই নারী যার জামাই সিরিয়ালের ফ্যান সবচেয়ে দুর্ভাগ্য সেই কাপলের জন্য যেখানে মেয়েটি স্পোর্টস ফ্যান আর ছেলেটি সিরিয়ালের ফ্যান,0,0
../dataset/Dataset\Memes\tangaila (345).jpg,tangaila (345).jpg,বানিজ্য মেলা টাংগাইলা পিপলস,1,1
../dataset/Dataset\Memes\ovodro_img (623).jpg,ovodro_img (623).jpg,যখন CPIM কে জিজ্ঞেস করা হবে কটা আসন পেলে আজ ভিজতে ভালো লাগে শুন্য ০ মনে জাগে,1,1
