Image_path,image_name,Captions,Label_Sentiment
../dataset/Dataset\Memes\tangaila (17).jpg,tangaila (17).jpg,আহা কোথায় নিয়ে যাচ্ছো ?  -চিপায়  -কেউ দেখে ফেলবে  -উহু কেউ দেখবেনা   Meanwhile..... (পাইছি আজকে)   কি দেখোস ? -সালমানের স্ক্যান্ডাল     এখন থেকে চিপা চাপায় এইসব দেখলেই ভিডিও করে রাখবেন এবং ফেসবুকে ছেড়ে দিবেন  ,negative
../dataset/Dataset\Memes\tangaila (18).jpg,tangaila (18).jpg,I fear no woman   But that thing   সাবেক প্রেমিককে কুপিয়ে ঢাবি ছাত্রের হাতে ধৃত ইডেন ছাত্রী   It scares me. ,negative
../dataset/Dataset\Memes\tangaila (19).jpg,tangaila (19).jpg,এই শোনো না !!   কি ?? ডিপে জল ,negative
../dataset/Dataset\Memes\tangaila (20).jpg,tangaila (20).jpg,"WHEN YOU ARGUE WITH YOUR COLLEGE SENIORS AND THEY BE LIKE   ""খাইছি তোরে""     *You ",negative
../dataset/Dataset\Memes\tangaila (21).jpg,tangaila (21).jpg,WHEN YOUR TEACHER BEATS YOU INFRONT OF YOUR CRUSH  আমি চিৎকার করিয়া কাদিতে চাহিয়া করিতে পারিনি চিৎকার  ,positive
../dataset/Dataset\Memes\tangaila (22).jpg,tangaila (22).jpg,"CHEMISTRY QUESTIONS BE LIKE  যা দেখছো , সেটা তা নয় ",positive
../dataset/Dataset\Memes\tangaila (23).jpg,tangaila (23).jpg,EVERYONE: PLEASE FORGET ABOUT HIM. HE IS A PLAYBOY. HE IS DANGEROUS.    ME:   আমি কি কম ডেঞ্জারাস ? ,negative
../dataset/Dataset\Memes\tangaila (24).jpg,tangaila (24).jpg, সব মেয়েই  JOSS    বেদের মেয়ে JOSS NA ,negative
../dataset/Dataset\Memes\tangaila (25).jpg,tangaila (25).jpg,"বাতাস, ঝড়   বৃষ্টি     আমার ইন্টারনেট কানেকশন ",positive
../dataset/Dataset\Memes\tangaila (26).jpg,tangaila (26).jpg,THE CURRENT SITUATION OF BANGLADESHI IS রেপ আটকা রেপ আটকা রেপ আটকা হো ,negative
../dataset/Dataset\Memes\tangaila (27).jpg,tangaila (27).jpg,ক্লাস সেভেনের পিচ্চিঃ মামা একটা গোল্ডলিফ দেন তো    দোকানের আশেপাশের মানুষজনঃ ,negative
../dataset/Dataset\Memes\tangaila (28).jpg,tangaila (28).jpg,WHEN YOU SAY HI & THE OTHER PERSON SAYS ASSALAM WALAIKUM ,positive
../dataset/Dataset\Memes\tangaila (30).jpg,tangaila (30).jpg,EVERY NIGHT AT MOHAMMADPUR  আপনাকে তো আমি চিনি    ভাই একটু এইদিকে আসেন তো    ME ,negative
../dataset/Dataset\Memes\tangaila (31).jpg,tangaila (31).jpg,DC FAN   ME  MARVEL FAN ,positive
../dataset/Dataset\Memes\tangaila (32).jpg,tangaila (32).jpg,WHEN THERE IS A  গ্যাঞ্জাম  TOMORROW & YOU ARE এলাকার বড় ভাই    তুই যুক্তরাজ্য থেকে আমার জন্য রড পাঠা    ,negative
../dataset/Dataset\Memes\tangaila (33).jpg,tangaila (33).jpg,Bro/ Sis's heart   Father's heart   Mother's heart ,positive
../dataset/Dataset\Memes\tangaila (34).jpg,tangaila (34).jpg,এরকম গন্ধ তো আমার বয়ফ্রেন্ড এর গা থেকেও পাওয়া যায়    হ্যাঁ জানি ,negative
../dataset/Dataset\Memes\tangaila (35).jpg,tangaila (35).jpg,"WHEN YOU ASK A GIRL ""রোজা রাখো নাই কেনো ?""  আশ্চর্য , মেয়েটা রেগে গেলো কেনো ? ",neutral
../dataset/Dataset\Memes\tangaila (36).jpg,tangaila (36).jpg,"সঠিক ভাবে যাকাত না দেওয়া    যাকাত প্রাপ্যরা   বড়লোক্স       ""দারিদ্র বিমোচনের জন্য আমাদের কিছু একটা করা উচিৎ""",negative
../dataset/Dataset\Memes\tangaila (37).jpg,tangaila (37).jpg,BEFORE TARAWEEH     DURING TARAWEEH    AFTER TARAWEEH ,positive
../dataset/Dataset\Memes\tangaila (38).jpg,tangaila (38).jpg,নামাযের সময় যখন পিছনের কাতারে  পিচ্চি পোলাপান চিল্লাচিল্লি করে    সামনের মুরুব্বিঃ,positive
../dataset/Dataset\Memes\tangaila (39).jpg,tangaila (39).jpg,"WHEN YOU FAIL IN BCS EXAM    প্রথমবার দিয়েছি , শেষবার নয় ",positive
../dataset/Dataset\Memes\tangaila (40).jpg,tangaila (40).jpg,BRAZILIAN FANS BE LIKE    2014 ,negative
../dataset/Dataset\Memes\tangaila (41).jpg,tangaila (41).jpg,If you don't love me at my    You won't love me any way  ,negative
../dataset/Dataset\Memes\tangaila (42).jpg,tangaila (42).jpg,ঘাস ফুলেদের সাথে আমি একাই কথা বলি    ঘাস ফুল গুলো সব ছন্নছাড়া  ,positive
../dataset/Dataset\Memes\tangaila (43).jpg,tangaila (43).jpg,*রমনী যার স্বামী বিদেশ    *বেস্ট ফ্রেন্ড    *প্রবাসী স্বামী ,negative
../dataset/Dataset\Memes\tangaila (44).jpg,tangaila (44).jpg,What's your achievement in this World Cup ?    Final   Quarter Final ,positive
../dataset/Dataset\Memes\tangaila (45).jpg,tangaila (45).jpg,জামাই দেখি ভুমিকম্প এক্সপার্ট  ! ,negative
../dataset/Dataset\Memes\tangaila (46).jpg,tangaila (46).jpg,স্যার আপনারা ফাইনালে উঠে গেছেন    তো তোমরা এত খুশি কেন ?    আমরা একদিন আপনাদের চেয়ে র‍্যাংকিং এ এগিয়ে ছিলাম ।  We are very proud sir ,positive
../dataset/Dataset\Memes\tangaila (47).jpg,tangaila (47).jpg,When My Friend Gets Admitted into BUET    তুই তো চ্যালচ্যালায়া মাইয়া পটাবি    ,negative
../dataset/Dataset\Memes\tangaila (48).jpg,tangaila (48).jpg,Tahseenation    salman jessia ,negative
../dataset/Dataset\Memes\tangaila (49).jpg,tangaila (49).jpg,She - I bet he is thinking about helping the students in the protest.    Ayman - Accha Robi theke check ta ekhono ashlona keno ?  ,negative
../dataset/Dataset\Memes\tangaila (50).jpg,tangaila (50).jpg," প্রেমে পড়েছি , প্রেমে পড়েছি    meme হয়েছি,  meme হয়েছি  ",negative
../dataset/Dataset\Memes\tangaila (51).jpg,tangaila (51).jpg,যখন পাশ দিয়ে HOT মেয়ে যায়   Me & My Friends -     I'm HUMBLE but SAVAGE     ,negative
../dataset/Dataset\Memes\tangaila (52).jpg,tangaila (52).jpg,WHEN YOU'RE EATING DIRTY STREET FOOD KNOWING THAT YOUR STOMACH  WILL GET  F*CKED   ডটেড কনডম ,negative
../dataset/Dataset\Memes\tangaila (53).jpg,tangaila (53).jpg,Random uncle aunty in every family event  আমি তোমাকে একটা ইন্টালেকচুয়াল কোয়েশ্চন করতে চাই  ,positive
../dataset/Dataset\Memes\tangaila (54).jpg,tangaila (54).jpg,"*COUPLES KISSING IN PUBLIC*   BENGALIS:  ইশশিরে , পরিবেশ শ্যাষ ",negative
../dataset/Dataset\Memes\tangaila (55).jpg,tangaila (55).jpg,হাসতে দেখো গাইতে দেখো   অনেক কথায় মুখোর আমার দেখো    দেখো না কেউ হাসির শেষে নীরবতা  ,positive
../dataset/Dataset\Memes\tangaila (56).jpg,tangaila (56).jpg,When you are a human being But memers made you a  *ফেরেশতা* ,positive
../dataset/Dataset\Memes\tangaila (57).jpg,tangaila (57).jpg,  বের হলেই চাকরি    বেতন ১২ হাজার টাকা ,positive
../dataset/Dataset\Memes\tangaila (58).jpg,tangaila (58).jpg,SOME OF THE WORLD'S FASTEST DATA TRANSFER SYSTEMS   USB 3.1   Type-C   eSATA ,negative
../dataset/Dataset\Memes\tangaila (59).jpg,tangaila (59).jpg,ডাইনে তোমার চাচার বাড়ী    বায়েরদিকে  পুকুর ঘাট   সে ভাবনায় বয়স আমার বাড়ে না ,positive
../dataset/Dataset\Memes\tangaila (60).jpg,tangaila (60).jpg,HER:  নিশ্চই অন্য বেডির কথা চিন্তা করতেসে  HIM:  আমি যদি BNP তে ভোট দেই তাহলে আমাকে বলবে আমি BNP এর দালাল ।   আবার আওয়ামীলীগ  এ ভোট দিলে বলবে আমি আওয়ামীলীগ এর দালাল ।   এখন আমি কোনদিকে যাই বল !  ,negative
../dataset/Dataset\Memes\tangaila (61).jpg,tangaila (61).jpg,মানুষের হোগায় আঙুল দেওয়ার জন্যই আমার জন্ম   ,negative
../dataset/Dataset\Memes\tangaila (62).jpg,tangaila (62).jpg,ফেসবুক সেলেব্রিটি হওয়ার জন্যই আমার জন্ম  ,negative
../dataset/Dataset\Memes\tangaila (63).jpg,tangaila (63).jpg, কমেন্টে গালি খাওয়ার জন্যই আমার জন্ম ,negative
../dataset/Dataset\Memes\tangaila (64).jpg,tangaila (64).jpg,পাছা চাটার জন্যই আমার জন্ম ,negative
../dataset/Dataset\Memes\tangaila (65).jpg,tangaila (65).jpg,"যখন ডাক্তার বলে "" রাতে তাড়াতাড়ি ঘুমাবা নাহলে আরও অসুস্থ হয়ে পরবা""  এ দাক্তাল তোমাল ততা তেউ তোদেও না ",negative
../dataset/Dataset\Memes\tangaila (66).jpg,tangaila (66).jpg,গরুর হাটে মাইর খাওয়ার জন্যই আমার জন্ম ,negative
../dataset/Dataset\Memes\tangaila (67).jpg,tangaila (67).jpg,সাবস্ক্রাইব কে সাসক্রাইব বলার জন্যই আমার জন্ম ,negative
../dataset/Dataset\Memes\tangaila (68).jpg,tangaila (68).jpg,Guy who made the joke    Guy who said it louder in front of the whole class ,positive
../dataset/Dataset\Memes\tangaila (69).jpg,tangaila (69).jpg,৭ই মার্চের ভাষণ    বাংলার সাধারণ জনগণ ,positive
../dataset/Dataset\Memes\tangaila (70).jpg,tangaila (70).jpg, Parents: তো আজকে তোদেরকে ওইখানে কি কি শিখালো ?  Son : ,negative
../dataset/Dataset\Memes\tangaila (71).jpg,tangaila (71).jpg,SOME OF THE SUPERHEROES WITH THEIR SOURCES OF POWER ,positive
../dataset/Dataset\Memes\tangaila (72).jpg,tangaila (72).jpg,*সবুজ আর কমলা ললি আইসক্রিম খাওয়ার পর*   আমি আর আমার বন্ধুঃ ,positive
../dataset/Dataset\Memes\tangaila (73).jpg,tangaila (73).jpg,আমার অন্যমনস্ক বাপ  উনার মানিব্যাগ এ রাখা টাকা   আমি ,negative
../dataset/Dataset\Memes\tangaila (74).jpg,tangaila (74).jpg,চলে গেছো তাতে কি   চকবাজার ট্রাজেডি   বিমান ছিনতাইয়ের চেষ্টা   বসুন্ধরায় বাসচাপায় বিশ্ববিদ্যালয় শিক্ষার্থী নিহত    নতুন একটা পেয়েছি   বনানীতে ভয়াবহ আগুন ,neutral
../dataset/Dataset\Memes\tangaila (75).jpg,tangaila (75).jpg,ডিরেক্টরঃ আমাদের সিনেমায় একজন অসৎ চরিত্রের লোক প্রয়োজন ।   ডিপজল    মিশা সওদাগর ,negative
../dataset/Dataset\Memes\tangaila (76).jpg,tangaila (76).jpg,Some Pictures of Rangan Riddo ,negative
../dataset/Dataset\Memes\tangaila (77).jpg,tangaila (77).jpg,একজন ধার্মিক মানুষের    ডান কাধের ফেরস্তাঃ   বাম কাধের ফেরেস্তাঃ      একজন অধার্মিক মানুষের   ডান কাধের ফেরেস্তাঃ     বাম কাধের ফেরেস্তাঃ ,positive
../dataset/Dataset\Memes\tangaila (78).jpg,tangaila (78).jpg,*হালকা বজ্রপাত বিদ্যমান*  আপনার  DSLR ওয়ালা বন্ধুঃ ,positive
../dataset/Dataset\Memes\tangaila (79).jpg,tangaila (79).jpg,"If you wanna laugh at me at my    Then, you should pray for me at my ",positive
../dataset/Dataset\Memes\tangaila (80).jpg,tangaila (80).jpg,যখন বাসায় আসা মেহমানের বাচ্চাকে আপনার খাটে শোয়ানো হয় আর সে হিশু করে দেয় ,positive
../dataset/Dataset\Memes\tangaila (81).jpg,tangaila (81).jpg,NOBODY: গেরাইম্মা ফেইসবুক ইউজারঃ     কত বড় মাদারচোদ না হইলে বাংলাদেশের পতাকাকে ছোট করতে জুতা বানায় ,negative
../dataset/Dataset\Memes\tangaila (82).jpg,tangaila (82).jpg,যখন পরিক্ষার হলে স্যার তোমার দিকে তাকায়   যখন স্যার অন্যদিকে ঘুরে যায় ,negative
../dataset/Dataset\Memes\tangaila (83).jpg,tangaila (83).jpg,আম্মু to 5 years old me :    সত্যি বল তাহলে মারবোনা   আমি সত্যি বলার ৫ সেকেন্ড পরেঃ   আম্মু    ,positive
../dataset/Dataset\Memes\tangaila (84).jpg,tangaila (84).jpg,যারা একদিকে অনেক টাকা আয় করে    যারা এই গরমে রাস্তার পাশে লেবুর শরবতের দোকান দিয়েছে  ,negative
../dataset/Dataset\Memes\tangaila (85).jpg,tangaila (85).jpg, বেগম সাহেব     কাজের বুয়া    বাথরুম ধুয়ে  ঘর মুছে দে    আজকে মে দিবস ,positive
../dataset/Dataset\Memes\tangaila (86).jpg,tangaila (86).jpg,গালফ্রেন্ডের কসমেটিক শপিংয়ের খরচ    বেকার যুবক  ,negative
../dataset/Dataset\Memes\tangaila (87).jpg,tangaila (87).jpg,যখন ভুলক্রমে নিজেই নিজের পোস্ট করা ৩-৪ বছর আগের পোস্ট / স্ট্যাটাস দেখে ফেলি    *বর্তমানের আমি*     *৩-৪ বছর আগের আমি* ,positive
../dataset/Dataset\Memes\tangaila (88).jpg,tangaila (88).jpg,যখন বাসার বুয়া প্রেগনেন্ট হয়ে যায় ,negative
../dataset/Dataset\Memes\tangaila (89).jpg,tangaila (89).jpg,ইদের আগে দিয়ে যখন নাপিত হেয়ার স্টাইলের বারোটা বাজিয়ে দেয়    What more could i lose ? ,positive
../dataset/Dataset\Memes\tangaila (90).jpg,tangaila (90).jpg,Brendon McCullum right now   ,negative
../dataset/Dataset\Memes\tangaila (91).jpg,tangaila (91).jpg,যখন আপনি মেহেদী লাগাতে চান  কিন্তু মেহেদী আপনাকে উল্টো লাগিয়ে দেয় ,negative
../dataset/Dataset\Memes\tangaila (92).jpg,tangaila (92).jpg,Bengali girls: I am gonna marray a guy of my choice   Bengali moms: ,negative
../dataset/Dataset\Memes\tangaila (93).jpg,tangaila (93).jpg,হাসানের ছেলে    কুমুদিনী কলেজের মেয়ে ,negative
../dataset/Dataset\Memes\tangaila (94).jpg,tangaila (94).jpg,English Medium kids Trying To Keep Their Virginity     English Medium* Kids     *Bangla Medium    *Virginity,negative
../dataset/Dataset\Memes\tangaila (95).jpg,tangaila (95).jpg,যখন হাসানের ছেলে রাস্তায় বের হয়... তখন কুমুদিনীর মেয়েদের অবস্থা !,negative
../dataset/Dataset\Memes\tangaila (96).jpg,tangaila (96).jpg, me*   ফজিলাতুন্নেছা   কুমুদিনী  ,negative
../dataset/Dataset\Memes\tangaila (97).jpg,tangaila (97).jpg,কুমুদিনীর মেয়ে    মি    কুমুদিনীর মেয়ে*   মি* ,negative
../dataset/Dataset\Memes\tangaila (98).jpg,tangaila (98).jpg,যখন আপনি  ম্যাচ জিতান কিন্তু জনগন আপনার বউয়ের পর্দা করা নিয়ে কোনো প্রশ্ন তুলে না  ,negative
../dataset/Dataset\Memes\tangaila (99).jpg,tangaila (99).jpg,   বিসিএস ক্যাডার পোলা    কুমুদিনীর মেয়ে  ,negative
../dataset/Dataset\Memes\tangaila (100).jpg,tangaila (100).jpg,  ফজিলাতুন্নেছা   কুমুদিনী  ,negative
../dataset/Dataset\Memes\tangaila (101).jpg,tangaila (101).jpg,সৃষ্টি    বিন্দুবাসিনী  ,negative
../dataset/Dataset\Memes\tangaila (102).jpg,tangaila (102).jpg,যখন  কুমুদিনীর কোনো মেয়ে আমার পিকে লাভ রিয়েক্ট দেয়ঃ-      Me: ,negative
../dataset/Dataset\Memes\tangaila (103).jpg,tangaila (103).jpg,Can you hear me Mr. Stark ?    মৃত লাশকে কখনো কথা বলতে দেখছো ?  ,negative
../dataset/Dataset\Memes\tangaila (104).jpg,tangaila (104).jpg,যখন কোনো ফ্রেন্ড বলেঃ  পড়তে বসমু বায় ।    me:-,positive
../dataset/Dataset\Memes\tangaila (105).jpg,tangaila (105).jpg,কিছু কলেজ আছে যেখানে একদিন না গেলে জড়িমানা নেয়   নাম বললে ইজ্জত থাকবে না    অই মিয়া তুমি বেসরকারি কলেজ সোদাও কেন ?  ,negative
../dataset/Dataset\Memes\tangaila (106).jpg,tangaila (106).jpg,যখন সৃষ্টি স্কুল ছুটি দেয়...  Then me:-  ,negative
../dataset/Dataset\Memes\tangaila (107).jpg,tangaila (107).jpg,বাবাঃ আমার মেয়ে mbbs করবে    মেয়েঃ ,negative
../dataset/Dataset\Memes\tangaila (108).jpg,tangaila (108).jpg,তার হাজবেন্ড   বিন্দুবাসিনীর মেয়ে ,negative
../dataset/Dataset\Memes\tangaila (109).jpg,tangaila (109).jpg,যখন অটোতে কোনো মেয়ে উঠে আর আমাকে সামনে চলে যেতে হয়    Me:-,negative
../dataset/Dataset\Memes\tangaila (110).jpg,tangaila (110).jpg,সৃষ্টির মেয়ে    সরকারি চাকুরী  ,negative
../dataset/Dataset\Memes\tangaila (111).jpg,tangaila (111).jpg,"যখন আপনি একইসাথে ফুটবলে বার্সোলোনা, আর্জেন্টিনা আর ক্রিকেটে বাংলাদেশ, নিউজিল্যান্ড সাপোর্টার এবং কম জিপি এ পাওয়া হসচ পরীক্ষার্থী ",negative
../dataset/Dataset\Memes\tangaila (112).jpg,tangaila (112).jpg,যখন ঈদে কেউ সেলামী না দেয়   তখন আমিঃ ,positive
../dataset/Dataset\Memes\tangaila (113).jpg,tangaila (113).jpg,যখন কোনো  মেয়ে বলে তুমি তো অনেক সুন্দর কিউট তখন আমিঃ-,positive
../dataset/Dataset\Memes\tangaila (114).jpg,tangaila (114).jpg,যখন দেখি ক্রাশ সিগারেট খায়...... তখন আমি......!,negative
../dataset/Dataset\Memes\tangaila (115).jpg,tangaila (115).jpg,When you Want to show Your Acting Skills ,negative
../dataset/Dataset\Memes\tangaila (116).jpg,tangaila (116).jpg,"When a girl checks her filtered message    অনেকের ছবি দেখে ভালো লাগছে, আবার অনেকেরটা নিয়ে হাসছি ",negative
../dataset/Dataset\Memes\tangaila (117).jpg,tangaila (117).jpg,TahseeNation TahseeNation Pro,negative
../dataset/Dataset\Memes\tangaila (118).jpg,tangaila (118).jpg,Admission test  নিয়ে আমার সিরিয়াস বন্ধু   পরীক্ষার নামে ট্যুরের প্ল্যান করা আমি ,positive
../dataset/Dataset\Memes\tangaila (119).jpg,tangaila (119).jpg,-খাবার বইসা ফোন টিপস কেন ?? আর টিপবি না...  আমিঃ- আমার এই বাজে স্বভাব কোনো দিন যাবে না ! ,positive
../dataset/Dataset\Memes\tangaila (120).jpg,tangaila (120).jpg,আমি*   সৃষ্টির মেয়ে ,negative
../dataset/Dataset\Memes\tangaila (121).jpg,tangaila (121).jpg,পরিক্ষার টেনশন    আমার মোবাইল     আমি ,positive
../dataset/Dataset\Memes\tangaila (122).jpg,tangaila (122).jpg,you can rest now ,negative
../dataset/Dataset\Memes\tangaila (123).jpg,tangaila (123).jpg,ভার্সিটির বড় ভাই    আমি*    কুমুদিনীর মেয়ে ,negative
../dataset/Dataset\Memes\tangaila (124).jpg,tangaila (124).jpg,আমি    পুলিশ লাইনের মেয়ে     আমি*   পুলিশ লাইনের মেয়ে* ,negative
../dataset/Dataset\Memes\tangaila (125).jpg,tangaila (125).jpg,বাসা থেকে বের হওয়ার পর...  এলেঙ্গা থেকে টাংগাল যাওয়ার পর ...,positive
../dataset/Dataset\Memes\tangaila (126).jpg,tangaila (126).jpg,পলিটেকনিকের ছেলে   পলিটেকনিকের মেয়ে    পলিটেকনিকের আরেক মেয়ে    আমি ,negative
../dataset/Dataset\Memes\tangaila (127).jpg,tangaila (127).jpg,যখন কুমুদিনীর মেয়ে প্রপজাল রিজেক্ট করে দেয় তখন আমি...,negative
../dataset/Dataset\Memes\tangaila (128).jpg,tangaila (128).jpg,"পেনাল্টিতে গোল ?   না ভাই, ফ্রি কিক হইলে বইলেন, দিমু নে ",positive
../dataset/Dataset\Memes\tangaila (129).jpg,tangaila (129).jpg,শুধু খেলার জন্য নয়   চাপাবাজীর জন্য হলেও ডাক দিয়েন ,negative
../dataset/Dataset\Memes\tangaila (130).jpg,tangaila (130).jpg,Islam*   NahidRains *   * Islam,negative
../dataset/Dataset\Memes\tangaila (131).jpg,tangaila (131).jpg,হোম কুয়ারেন্টিনে থাকা প্রবাসী বাংলাদেশীঃ ,positive
../dataset/Dataset\Memes\tangaila (132).jpg,tangaila (132).jpg,First day of Home quarantine   vs    Last day of Home quarantine ,negative
../dataset/Dataset\Memes\tangaila (133).jpg,tangaila (133).jpg,*হোম কোয়ারেন্টাইনে থাকা    *বাইরে ঘোরাফেরা    *বাংলাদেশে আসা প্রবাসী ,negative
../dataset/Dataset\Memes\tangaila (134).jpg,tangaila (134).jpg,জাস্টফ্রেন্ড    গালফ্রেন্ড    ,negative
../dataset/Dataset\Memes\tangaila (135).jpg,tangaila (135).jpg,বাইরে ঘুরাঘুরি করা সাধারণ জনগণের হোগা     সেনাবাহিনীর লাঠি ,negative
../dataset/Dataset\Memes\tangaila (136).jpg,tangaila (136).jpg,-মেহমান আসছে... যা দোকান থেকে কিছু নিয়ে আয়    কিছুঃ ,positive
../dataset/Dataset\Memes\tangaila (137).jpg,tangaila (137).jpg,নুনু ঝারা দেওয়ার পর    প্যান্টের চেইন লাগানোর পর ,negative
../dataset/Dataset\Memes\tangaila (138).jpg,tangaila (138).jpg,যখন মিম আমার প্রপোজাল রিজেক্ট করে দেয় তখনঃ-   আমি*   মিম,negative
../dataset/Dataset\Memes\tangaila (139).jpg,tangaila (139).jpg,*Munni Saha    Apnar onubhuti ki ?? ,negative
../dataset/Dataset\Memes\tangaila (140).jpg,tangaila (140).jpg,সৃষ্টি     ফজিলাতুন্নেছা   মতিন   কুমুদিনী   আমি*    হাসান ,negative
../dataset/Dataset\Memes\tangaila (141).jpg,tangaila (141).jpg,Chittagong University CUDSE Debating Society ,negative
../dataset/Dataset\Memes\tangaila (142).jpg,tangaila (142).jpg,Accidentally fall tap on mobile advertisement   Advertisement:  চল যাইগা  Play Store রে  ,positive
../dataset/Dataset\Memes\tangaila (143).jpg,tangaila (143).jpg,যখন হঠাত করে হাসানিয়ান বড় ভাই কল দেয়   মিঃ  আপনার কি সাদিয়ার নম্বর লাগবো ? ,negative
../dataset/Dataset\Memes\tangaila (144).jpg,tangaila (144).jpg,যখন কুমুুদিনীয়ান কাঁদে     যখন হাসানিয়ান কাঁদে ,negative
../dataset/Dataset\Memes\tangaila (145).jpg,tangaila (145).jpg,He: তোমার নাম কি ?  me:  ঈশা  He:  তাহলে অনেকেই নিশ্চয়ই তোমাকে মশা বলে ডাকে     কি আশ্চর্য ! আপনি জানলেন কি করে ? ,positive
../dataset/Dataset\Memes\tangaila (146).jpg,tangaila (146).jpg,ক্রাশের কাছ থেকে রিপ্লাই   Pele   Na Pele ,negative
../dataset/Dataset\Memes\tangaila (147).jpg,tangaila (147).jpg, ফজিলাতুন্নেছার মেয়েরা আসলে যেমন    তারা নিজেকে যেমন ভাবে......,negative
../dataset/Dataset\Memes\tangaila (148).jpg,tangaila (148).jpg,লকডাউনের কারণে আমার জমায়া রাখা ৩ প্যাকেট বেন্সন    আমি ,negative
../dataset/Dataset\Memes\tangaila (149).jpg,tangaila (149).jpg,দেশ বিদেশে থাকা উদ্ভাসের সাবেক শিক্ষার্থীগন ,negative
../dataset/Dataset\Memes\tangaila (150).jpg,tangaila (150).jpg,মাগরিবের নামাজ শেষ করে শুনলাম আমি মারা গেছি    jagaonews24.com,negative
../dataset/Dataset\Memes\tangaila (151).jpg,tangaila (151).jpg,কোথায় তুমি  ??   জানি না তবে এখানে অনেক সাদা ড্রেস পড়া পল্ট্রির মত মেয়ে দেখতে পাচ্ছি ...।   ওয়েলকাম টু কলেজ গেট ! ,positive
../dataset/Dataset\Memes\tangaila (152).jpg,tangaila (152).jpg,বিন্দুবাসিনীর কোনো সুন্দরী মেয়ে যখন বলে আমি সিঙ্গেল   লে আমিঃ-  প্রমাণ দাও ! ,negative
../dataset/Dataset\Memes\tangaila (153).jpg,tangaila (153).jpg,কুমুুদিনীয়ানদের রিয়েল লাইফ    আর তাদের প্রফাইক পিক ,negative
../dataset/Dataset\Memes\tangaila (154).jpg,tangaila (154).jpg,আমি   ভালবাসা   মিম ,negative
../dataset/Dataset\Memes\tangaila (155).jpg,tangaila (155).jpg,কই তুমি ??   জানি না তবে এখানে একজন আরেকজনের মুখ দিয়ে অক্সিজেনের মুখ দিয়ে অক্সিজেন দিচ্ছে ।      ওয়েলকাম টু সেল পার্ক ! ,negative
